commit,score
NEXT-30445 - Add coverage for inventory management,0
XWIKI-21397: Upgrade to Elastic search client 8.10.2,1
NuGet: Use a more general RID's (#6674),0
feat(upload): support upload gif image,0
Deprecate Data::$fieldtype (#15770),0
"[Task]: Fix documentation for OBJECT_GET_PRE_SEND_DATA (#15985)https://github.com/pimcore/admin-ui-classic-bundle/commit/4942d2d2be4c5ac210b8c91cf87e83446a8893dbCo-authored-by: Cameron Jenkins <cameron.jenkins@torqit.ca>",0
Security fix for ReDoS (#3980) ,1
"fix filename extraction for URL with parametersAdd function to strip parameters query from URL to proper filename extraction.Useful for integration with Viber.",1
fix pam authorization (#19040) https://huntr.dev/bounties/8d221f92-b2b1-4878-bc31-66ff272e5ceb/Co-authored-by: ysf <34326+ysf@users.noreply.github.com>,1
Not-working link during adding a SAML Identity provider (#23093),1
Quick fix for a vuln in printing empty tensors. PiperOrigin-RevId: 503308327,1
feat: added method to check for # (#2632),0
Merge pull request #406 from radarhere/tests,0
 #266 addressing path traversal issue on static file delivery (#267) ,1
Update composer.json,0
auth: ensure the redirect URL always starts with a single slash (#10167) Co-Authored-By: Keegan Carruthers-Smith <keegan.csmith@gmail.com>,1
chore: add acl config (#2128),1
"Merge pull request from GHSA-x345-32rc-8h85 * tests for push rule pattern matching* tests for acl pattern matching* factor out common `re.escape`* Factor out common re.compile* Factor out common anchoring code* add word_boundary support to `glob_to_regex`* Use `glob_to_regex` in push rule evaluatorNB that this drops support for character classes. I don't think anyone everused them.* Improve efficiency of globs with multiple wildcardsThe idea here is that we compress multiple `*` globs into a single `.*`. Wealso need to consider `?`, since `*?*` is as hard to implement efficiently as`**`.* add assertion on regex pattern* Fix mypy* Simplify glob_to_regex* Inline the glob_to_regex helper functionSigned-off-by: Dan Callahan <danc@element.io>* Moar commentsSigned-off-by: Dan Callahan <danc@element.io>Co-authored-by: Dan Callahan <danc@element.io>",1
fix: replace recursive approach to cdata with escaping solution ,1
"Bump i18next-http-backend from 2.2.2 to 2.3.0 in /js (#24309)Bumps [i18next-http-backend](https://github.com/i18next/i18next-http-backend) from 2.2.2 to 2.3.0.- [Changelog](https://github.com/i18next/i18next-http-backend/blob/master/CHANGELOG.md)- [Commits](https://github.com/i18next/i18next-http-backend/compare/v2.2.2...v2.3.0)---updated-dependencies:- dependency-name: i18next-http-backend  dependency-type: direct:production  update-type: version-update:semver-minor...Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
[CVE-2020-0829],1
update captcha,0
fix exception when user does not have view-realm role (#24036)Closes #23954,1
Added two more custom fields/fieldsets to seederSigned-off-by: snipe <snipe@snipe.net>,0
"Update Windows.php (#15350)I added Server 2022 and Windows 10/11 22H2 (and a few other popular but older windows builds that people might still have in use).I also propose changing the naming of windows machines to better reflect the release and version of windows. This naming is derived from this page: https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versionsFor example, for Windows Server it was previously set to something like 'Windows Server 2019 1809 (NT 6.3)' which is incorrect as MS stopped using NT 6.3 since Windows 10 version 1507. Now it'll display as 'Windows Server 2019 (1809)'. The kernel/version is in parentheses and isn't also in the main part of the name as it's redundant/duplicated information.",0
[DS-4383] Escape Request a Copy HTML (JSPUI) ,1
"Merge pull request from GHSA-v7wg-cpwc-24m4 This ensures arbitrary classes can't be passed instead ofAuthenticationPlugin, SocketFactory, SSLSocketFactory, CallbackHandler, HostnameVerifier",1
fix remove backup files,1
"fix: upgrade directory can be changed now, fixes build",1
fix: added trim to avoid questions with a single space ,1
[XlaCallModule] Add more logging.Log the op attributes on `--vmodule=xla_call_module_op=3`.PiperOrigin-RevId: 575812286,0
XWIKI-21388: Upgrade to WebDriverManager 5.5.3,0
ext login,0
"🔒 Added notes on a potential security vulnerability - Express.js never intended for template options to be passed via res.render- If you use res.render to pass a layout, the file will be read from disk- If you pass user-submitted data as options to res.render e.g. using req.query, then user-submitted file paths will be read- This is only a potential security vulnerability, depending on the implementation- Further fixes will be pushed to express-hbs to disable this behaviour by default",1
"fix: corrected display of pasted images, closes #2639",1
4.17vAdvanced auto assignment,0
security fix ,1
fix: prevent prototype pollution ,1
3.0.0 bug,1
Minor security improvements (#3034) * Prevent iframe jacking* Enforce nonce on admin login screen,1
fix: Parse Server option `fileUpload.fileExtensions` does not work with an array of extensions (#8688),0
"Transport Messagebird voice message API (#15115)* Messagebird voice message API* Reverse permission change on rrd/.gitignore* Name string",0
"[DataObject] Class Definition Interface - revert breaking changes (#15903)* [DataObject] Class Definition Interface - revert breaking changes partially from #14357* [DataObject] Class Definition Interface - revert breaking changes partially from #14357* [DataObject] Class Definition Interface - revert breaking changes partially from #14357",0
Refuse html files as resources even if declared to be plain text ,1
Merge branch '3.1' into 3.2,0
Merge branch 'next-26311/export-advanced-price-with-rule-name' into 'trunk'NEXT-26311 - Fix export advanced price with rule nameSee merge request shopware/6/product/platform!11536,0
Fix tf.raw_ops.LoadAndRemapMatrix vulnerability with invalid `row_rem… …apping`.Check that `row_remapping` has the correct dims().PiperOrigin-RevId: 445522800,1
Merge branch 'MDL-79444-master' of https://github.com/meirzamoodle/moodle,0
chore(deps-dev): bump phpunit/phpunit from 10.2.4 to 10.2.5Bumps [phpunit/phpunit](https://github.com/sebastianbergmann/phpunit) from 10.2.4 to 10.2.5.- [Changelog](https://github.com/sebastianbergmann/phpunit/blob/10.2.5/ChangeLog-10.2.md)- [Commits](https://github.com/sebastianbergmann/phpunit/compare/10.2.4...10.2.5)---updated-dependencies:- dependency-name: phpunit/phpunit  dependency-type: direct:development  update-type: version-update:semver-patch...Signed-off-by: dependabot[bot] <support@github.com>,0
NEXT-25584 - Adjust consumers of url generator and other public api of media urls/paths,0
always allow browsing as we don't know the subgroups (#23657)fixes: #23582,1
bug ,1
Merge pull request from GHSA-qf7j-25g9-r63f Extra check in vm-common,1
ugh,0
Merge pull request #101 from jenkinsci-cert/security-383-simpler [SECURITY-383] Additional XStream2-specific class blacklisting,1
PERF-4619/XSS vulnerability fix (#99) * SECURITY-2724: escape keys and descriptions of parameters* Fix html tagCo-authored-by: Krzysztof Sulejczak <krzysztof.sulejczak@saucelabs.com>,1
Added Khmer as an available languageSigned-off-by: snipe <snipe@snipe.net>,0
[SECURITY] Ensure content element subheader is HTML encoded ,1
Add a 3.12 Docker container.PiperOrigin-RevId: 575881215,0
"Revert ""MDL-79320 mod_forum: remove use of buffering constant when exporting.""This reverts commit 4aeb85b9883563625e8ab6c54c6282eb3e01862b.",0
Improved validation for weight fields ,1
Merge pull request #4507 from hugovk/fix_tiff Fix 2 buffer overflows in TIFF decoding,1
Sanitize input ,1
Fix a check fail in Fast Fourier implementation PiperOrigin-RevId: 372026629Change-Id: Id05c3362aa575271bc3e06b16316c9037085fc11,1
Remove unnecessary checks on a value that is already definitely an al… …phanumSigned-off-by: Matt Butcher <matt.butcher@microsoft.com>,1
Upgraded to tokio. Fixed several issues ,1
Merge remote-tracking branch 'security/master.config-xss-2018-03-13' ,1
MDL-79323 lang: Fix Behat tests regressions after merging en_fix strings,0
"[BUGFIX] Prevent empty links after updating a link via link-browserRemove selection link attributes after updating an existing linkthat has been selected with a collapsed selection (that is whenthe cursor is placed anywhere inside the link).We missed to cleanup all our (and ckeditor's) link relatedattributes after creating a collapsed selection (""cursor placed afterthe link"") after a link was updated.Adapt to upstream logic to cleanup link attributes as seen inhttps://github.com/ckeditor/ckeditor5/blob/v39.0.2/packages/ckeditor5-link/src/linkcommand.ts#L206-L208The logic is slightly modified to use the same generic approach inhttps://github.com/ckeditor/ckeditor5/blob/v39.0.2/packages/ckeditor5-link/src/linkediting.ts#L697included our workaround from #101429Resolves: #102006Releases: main, 12.4Change-Id: I79f23a1c309213fbf12017ecb485c7d963fe5a2fReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81172Tested-by: Andreas Fernandez <a.fernandez@scripting-base.de>Reviewed-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Benjamin Kott <benjamin.kott@outlook.com>Reviewed-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: Benjamin Franzke <ben@bnf.dev>Tested-by: core-ci <typo3@b13.com>Tested-by: Benjamin Kott <benjamin.kott@outlook.com>",0
"fix(node): security vulnerability in rebuild-bot (#602) To address a security issue, the `@projen rebuild` workflow will no longer be triggered by a comment on the pull request. This commit removes the `issue_comment` trigger from rebuild-bot workflow so that this workflow can only be executed manually by administrators.Additional details will be provided at a future date.",1
Merge branch 'MDL-79485' of https://github.com/paulholden/moodle,0
"Fix bug that could cause map_fn to produce incorrect results (rather … …than an error)when mapping over a ragged tensor with an inappropriate fn_output_signature.  (Note: there are cases where the default value for fn_output_signature is not appropriate, so the user needs to explicitly specify the correct output signature.)PiperOrigin-RevId: 387606546Change-Id: Ib4ea27b9634e6ab413f211cfe809a69a90f0e2cd",1
[Security] ContentSecurityPolicyHandler - Add exclude paths property … …to disable csp for specific pathsSigned-off-by: dpahuja <divesh.pahuja@gmail.com>,1
Fix a check fail PiperOrigin-RevId: 372011072Change-Id: I1062cfaed0aa16884e9a16312483794d188db76f,1
"🔒️ Require the current password for changing it Admins may still change existing user account passwords withouthaving to enter the current one, however the regular user orientedpassword change dialog has been adjusted to require entry of thecurrent password. The API has been locked down accordingly andthe password change endpoint has seen a small change due to that,please refer to the updated documentation.",1
Merge branch 'patrik-deletion' into 'master'Fix deletion of repositories in subdirectory #250See merge request ikus-soft/rdiffweb!293,1
Merge branch 'MDL-79613-master' of https://github.com/snake/moodle,0
security #cve-2020-15094 Remove headers with internal meaning from Ht… …tpClient responses (mpdude)This PR was merged into the 4.4 branch.,1
"Change ActiveRecord::Coders::YAMLColumn default to safe_load In Psych >= 4.0.0, load defaults to safe_load. This commitmakes the ActiveRecord::Coders::YAMLColum class use Psych safe_loadas the Rails default.This default is configurable via ActiveRecord.use_yaml_unsafe_loadWe conditionally fallback to the correct unsafe load if use_yaml_unsafe_loadis set to true. unsafe_load was introduced in Psych 4.0.0The list of safe_load permitted classes is configurable viaActiveRecord.yaml_column_permitted_classes[CVE-2022-32224]",1
fixes to page compare and version compare tools ,1
"Move #7307 from ""Backwards Incompatible Changes"" to ""API Changes""",0
add xss clean to create media dir method ,1
fix: timeline response changed,1
added trailing spaces for testcases issue #6499,0
"NuGet: Remove a redundant code from the source code of packages (#6670)I just removed the redundant code from the packages.This PR relates to issue #6586.",0
bug ,1
add docker-coompose.yml,0
Merge pull request #1953 from LiveHelperChat/mobile-uxMobile UX fixes,0
better features overview (#22641)Closes #17733,0
Expand/Shrink for the widgets,0
Updated zlib to 1.3,1
NEXT-30583 - update package annotations for Core and Storefront directories,0
Merge pull request #7480 from radarhere/lint,0
"fix(security): disable reading config params from URL search params (… …7697)Reading configuration parameters from URL search params is by default no longer enabled. To re-enable it, set queryConfigEnabledconfiguration parameter to true.Functionally, this is a breaking change, but given we're just providinga security vulnerability patch we're considering this a PATCH version bumponly.Refs #4872Refs GHSA-qrmm-w75w-3wpx",1
"feat!: sanitize HTML tags to prevent XSS vulnerabilities This allows rendering only a pre-defined set of HTML tags and their attributes.It also escapes all HTML code in the zone preview inside the Studio editor.An alternative could be sanitizing this data with `bleach` before passing itto the Studio editor (i.e. in the `studio_view`). This would provide aconsistent experience between the rendered XBlock and this preview. However,this would lead to overwriting existing data - i.e. when a course authorsubmits the XBlock, the sanitized data will replace the one from the XBlockfield (which has the `Scope.settings` scope). Therefore, we decided to justescape the HTML with `Handlebars.Utils.escapeExpression` in the preview.BREAKING CHANGE: disallowed HTML tags (e.g. `<script>`) will no longer berendered in LMS and Studio.",1
Bumping Triton versionPiperOrigin-RevId: 574986341,0
Merge branch 'hot-fix/1.1.1/login' into test,0
Apply php-cs-fixer changes,0
Fix rescan ,1
"security: fix missing permission check of publish * Invenio-Drafts-Resources does not properly check permissions when a  record is published. The vulnerability is exploitable in a default  installation of InvenioRDM. An authenticated a user is able via REST  API calls to publish draft records of other users if they know the  record identifier and the draft validates (e.g. all require fields  filled out). An attacker is not able to modify the data in the record,  and thus e.g. cannot change a record from restricted to public.",1
Bump org.springframework:spring-framework-bom from 5.3.29 to 5.3.30 (#8601),0
XWIKI-21375: Videos on the help page don't have alternatives (#2484)* Replaced unstandard aria attribute* Readded a role to the Youtube iframes,1
"Fix Raisecom ROS processor collection (#14966)Was origionally intended to use the 1 minute values, but was discovering the one second value and polling the twoHour valueWas also restricted to only one CPU.Now discovers and polls all CPUs at the oneMin avg",1
[!!!][TASK] Add native type declarations to GU array methodsResolves: #101453Related: #101305Releases: mainChange-Id: Ib34e3526769753ed90553db42d4e843f44dc560fReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80247Reviewed-by: Nikita Hovratov <nikita.h@live.de>Reviewed-by: Oliver Hader <oliver.hader@typo3.org>Tested-by: core-ci <typo3@b13.com>Tested-by: Nikita Hovratov <nikita.h@live.de>Tested-by: Oliver Hader <oliver.hader@typo3.org>,0
feat: added folder for phpMyFAQ updates,0
chore(deps-dev): bump phpunit/phpunit from 10.3.4 to 10.3.5Bumps [phpunit/phpunit](https://github.com/sebastianbergmann/phpunit) from 10.3.4 to 10.3.5.- [Changelog](https://github.com/sebastianbergmann/phpunit/blob/10.3.5/ChangeLog-10.3.md)- [Commits](https://github.com/sebastianbergmann/phpunit/compare/10.3.4...10.3.5)---updated-dependencies:- dependency-name: phpunit/phpunit  dependency-type: direct:development  update-type: version-update:semver-patch...Signed-off-by: dependabot[bot] <support@github.com>,0
Merge pull request from GHSA-vh7g-p26c-j2cw Add HMAC protection on /approval endpoint,1
Workers 8.2 php support,0
dont show page content for resellers withouth required permissions to… … actually do somethingSigned-off-by: Michael Kaufmann <d00p@froxlor.org>,1
Link to demonstration from release notes,0
Merge branch 'dev' of github.com:microweber/microweber into dev,0
Weak hashing algorithm usage in SSSD User federationCloses #23713,1
fix: [security] fixes a security issue when used as remote transform the MISP connection being shared by all the users,1
XWIKI-21295: Some large documents may be exported only partially now with the new PDF Export* Use a more recent version of Chrome Docker image (upgrade from 102 to 115)* Run the Chrome Docker container with a secure computing profile (taken from https://github.com/Zenika/alpine-chrome/blob/master/chrome.json ) in order to be able to run Chrome in sandbox mode* Add functional test,1
Fixed seederSigned-off-by: snipe <snipe@snipe.net>,0
removed spaces in TypedArrayBuiltins.js line 329,0
Show group excluded indication,0
last_msg attribute for the chat,0
Merge remote-tracking branch 'origin/11.0' into 11.x# Conflicts:#	composer.json#	models/DataObject/Classificationstore.php#	models/DataObject/Data/Link.php#	models/WebsiteSetting.php,0
Merge branch 'feat/1.2.0/user' into test,0
Merge pull request #13757 from snipe/fixes/RB-17334_user_formatted_arrayFixed RB-17334 - ErrorException: Undefined variable $user_formatted_array,1
Merge back test for 2023-09-20 release (#8563),0
"fix: set permission level to ""medium"", if it was ""large""",1
Merge branch 'MDL-78481-master' of https://github.com/iarenaza/moodle,0
Fixing security fixes in boosted trees ops PiperOrigin-RevId: 405669548Change-Id: Iae224d240d1779bcc02405c2fff99785644fbd0d,1
"[MERGE #6243 @wyrichte] ChakraCore servicing update for August, 2019 Merge pull request #6243 from wyrichte:gh_servicing_1908This release addresses the following issues:CVE-2019-1197CVE-2019-1141CVE-2019-1196CVE-2019-1139CVE-2019-1131CVE-2019-1195",1
Fix segmentation fault in tf.image.crop_and_resize when boxes is inf … …or nanThis fix tries to address the issue raised in 42129 where segmentation faulthappened in tf.image.crop_and_resize when boxes is inf or nan.This fix adds the check to make sure boxes is not inf or nan (isfinite)This fix fixes 42129.Signed-off-by: Yong Tang <yong.tang.github@outlook.com>,1
bug,0
MDL-59293 block_onlineusers: Check whether current user can view onli… …ne users- Removed block from site admin.- Blocked guest from viewuserlist cap,1
Add security vulnerability test for raw_ops.Conv2DBackpropInput PiperOrigin-RevId: 463395218,1
"XCOMMONS-800: Find a way to cache Velocity ""AST",0
XWIKI-19490: Resizing columns in Live Data makes the column title too small (#2350)* Fix column title width using a min-width in CSS.,0
MDL-79581 communication_matrix: Use the contextid from the API,0
Merge pull request #2072 from pressbooks/pb-404-xss-fix Fix XSS security vulnerability,1
Fix overflow CHECK issue with `tf.raw_ops.DrawBoundingBoxes`. PiperOrigin-RevId: 369753591Change-Id: I3b45fc98ee0d28a3c20b7e9c995aa647c976ec40,1
"chore(release): 6.0.0-alpha.2 [skip ci]# [6.0.0-alpha.2](https://github.com/parse-community/parse-server/compare/6.0.0-alpha.1...6.0.0-alpha.2) (2022-11-10)### Features* Improve authentication adapter interface to support multi-factor authentication (MFA), authentication challenges, and provide a more powerful interface for writing custom authentication adapters ([#8156](https://github.com/parse-community/parse-server/issues/8156)) ([5bbf9ca](https://github.com/parse-community/parse-server/commit/5bbf9cade9a527787fd1002072d4013ab5d8db2b))",0
Merge pull request #13566 from snipe/features/13562_add_inline_file_linkFixed #13562 - Added inline file link,0
integer parsing should accept leading plus ,1
"[TASK] Add language attribute to *.action viewhelpersThis supplements the other viewhelpers already equippedwith this attribute.Resolves: #101775Releases: main, 12.4, 11.5Change-Id: Iadcdb1de591d9d9e56722623cacd1a5cf8fbe0afReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80717Tested-by: core-ci <typo3@b13.com>Tested-by: Benni Mack <benni@typo3.org>Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: Stefan Bürk <stefan@buerk.tech>Reviewed-by: Stefan Bürk <stefan@buerk.tech>Reviewed-by: Benni Mack <benni@typo3.org>",0
XWIKI-19747: Escape tag names * Escape tag names for XWiki syntax,1
"Bump @types/node from 20.6.3 to 20.6.5 in /js (#23502)Bumps [@types/node](https://github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/node) from 20.6.3 to 20.6.5.- [Release notes](https://github.com/DefinitelyTyped/DefinitelyTyped/releases)- [Commits](https://github.com/DefinitelyTyped/DefinitelyTyped/commits/HEAD/types/node)---updated-dependencies:- dependency-name: ""@types/node""  dependency-type: direct:development  update-type: version-update:semver-patch...Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
[CVE-2020-0827],1
Add VLAN Discovery for arubaos-cx (#15055)* add vlan discovery for arubaos-cx* style fixes* style fixes* string interpolation fix* status walk not used* add snmprec for 10.10 + vlans* Create arubaos-cx_10.10.json---------Co-authored-by: PipoCanaja <38363551+PipoCanaja@users.noreply.github.com>,0
XWIKI-19731: Fix escaping * better fix (thanks @michitux for the warning),1
fix: search plugin icon add max-width,0
"Allow full use of Authorization tab for anyone with manage-authorization (#23983)* Allow full use of Authorization tab for anyone with manage-authorizationaccess.* Allow export with manage-authorization role.* manage-authorization makes more sense for the subtabs",0
"fix(security): remove XSS vulnerability in `returnUrl` query param The `returnUrl` query parameter can be used to execute malicious code. Forexample, visiting`http://localhost:9876/?return_url=javascript:alert(document.domain)` willdisplay an alert.",1
Avoid jumping buttons,0
Update dependencies 8/18/22 (#771) * Update devDependencies* Update mobiledoc-dom-renderer* pin,1
refactor: upgrade @graphql-tools/utils from 8.11.0 to 8.12.0 (#8205),0
Merge branch 'next-30852/auto-imported-from-github' into 'trunk'NEXT-30852 - Transition state machine exception fixSee merge request shopware/6/product/platform!11555,1
update dump,0
Translated using Weblate (Ukrainian)Currently translated at 100.0% (277 of 277 strings)Translation: XWiki Platform/XWiki Platform - CKEditor - UITranslate-URL: https://l10n.xwiki.org/projects/xwiki-platform/xwiki-platform-ckeditor-ui/uk/,0
added translations for messages,0
Merge pull request from GHSA-p75c-5x3h-cxcg CVE-2022-39281 mitigations,1
Changed an exception message to prevent possible disclosures of keyin… …g material.,1
Add session type check in grabclipboard for Linux,0
fix: migration script,1
Merge pull request from GHSA-4f7p-27jc-3c36 Fix for HTTP request smuggling due to incorrect validation,1
live edit,0
update,0
"[XlaCallModule] Add back support for version 4.In cl/574450204 we increased the minimum supported version to 5, because after March 23rd, 2023 only version 5 and higher were serialized.Instead of rolling back all the changes, we only adjust the minimum supported version. This restores support, except for models that have shape polymorphism.PiperOrigin-RevId: 575315983",0
Merge pull request #395 from XmiliaH/security-fixes Internal restructuring and security improvements,1
Refresh repo list when required and allow manual refresh #188 #189* Refresh the repository list when user is browsing #189* Refresh the repository list on /apit/currentuser* Allow user to manually refresh the repository list #188,1
Merge pull request #404 from Yasasr1/master Fix XSS vulnerability in registry advanced search,1
Eliminate `CHECK`-fail from `function.cc`. PiperOrigin-RevId: 409414744Change-Id: Ic854e12ab2edb88b165d32e2d632c4ee654d71ad,1
openid: Fix cross-site scripting. Can be exploited by a malicious openid provider to execute scriptson the host using openid.git-svn-id: https://simplesamlphp.googlecode.com/svn/trunk@2444 44740490-163a-0410-bde0-09ae8108e29a,1
Percent-encode invalid characters with request target (#1586) ,1
refactor: simplified code,0
Correctly check import target URL IP ,1
"[BUGFIX] Toggle preview state in Form EditorWhen the form is in ""Preview"" mode and an integrator either saves orswitches to the form settings, the stage itself is updated to be in""Edit"" mode again, but the internal state remains in ""Preview"" mode,causing glitches in the UI.This patch now disables the preview state in the form model everytimethe ""stage area"", containing the editing interface, is rendered.Resolves: #102031Releases: main, 12.4, 11.5Change-Id: I84b0817bb99201527dbd4b950e560631e7b1d94fReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81253Reviewed-by: Benjamin Franzke <ben@bnf.dev>Tested-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: Stefan Bürk <stefan@buerk.tech>Reviewed-by: Stefan Bürk <stefan@buerk.tech>Tested-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: core-ci <typo3@b13.com>",0
Fix the webroot escape to classpath on windows Signed-off-by: Paulo Lopes <pmlopes@gmail.com>,1
Update Trendnet TEG-S50ES and TPE-P521ES OS detection (#15052)Add OID's for TEG-S50ES and TPE-P521ES switches to be detected as Trendnet devices instead of generic devices.,0
Add missing validation in `QuantizedBatchNormWithGlobalNormalization` PiperOrigin-RevId: 370123451Change-Id: Id234d6dab1ec21230bb8e503dba30f899af87f33,1
Fix: tag suggest,1
Merge branch 'next-30930/auto-imported-from-github' into 'trunk'NEXT-30930 - feat: correct class AbstractMediaUrlGenerator to namespace Shopware\Core\Content\Media\Core\Application\See merge request shopware/6/product/platform!11578,0
Added warning translation for encrypted fieldsSigned-off-by: snipe <snipe@snipe.net>,0
fix: access control (#870) ,1
Internal Code ChangePiperOrigin-RevId: 576031178,0
add new locale endpoint that returns the messages,0
Merge branch 'dev' into feat/1.2.0/user,0
Multiple Path Traversal security issues ,1
Update CHANGES.rst [ci skip],0
"vuln-fix: Temporary Directory Hijacking or Information Disclosure This fixes either Temporary Directory Hijacking, or Temporary Directory Local Information Disclosure.Weakness: CWE-379: Creation of Temporary File in Directory with Insecure PermissionsSeverity: HighCVSSS: 7.3Detection: CodeQL & OpenRewrite (https://public.moderne.io/recipes/org.openrewrite.java.security.UseFilesCreateTempDirectory)Reported-by: Jonathan Leitschuh <Jonathan.Leitschuh@gmail.com>Signed-off-by: Jonathan Leitschuh <Jonathan.Leitschuh@gmail.com>Bug-tracker: JLLeitschuh/security-research#10Co-authored-by: Moderne <team@moderne.io>",1
Add query parameter validation for multiple parameters ,1
Extending the visibility list.PiperOrigin-RevId: 577013097,0
[MERGE #6279 @MikeHolman] September 2019 Security Update Merge pull request #6279 from MikeHolman:servicing/1909September 2019 Security Update that addresses the following issues in ChakraCore:CVE-2019-1138CVE-2019-1217CVE-2019-1237CVE-2019-1298CVE-2019-1300,1
[CVE-2019-1428],1
XXE fix ,1
"Fix multiple vulnerabilities in `tf.experimental.dlpack.to_dlpack`. We have a use after free caused by memory coruption, a segmentation fault caused by memory corruption, several memory leaks and an undefined behavior when taking the reference of a nullptr.PiperOrigin-RevId: 332568894Change-Id: Ife0fc05e103b35325094ae5d822ee5fdea764572",1
chore: update version,0
Merge pull request #7274 from radarhere/jpeg_xmp,0
loader: x86_64: elf: Avoid reading beyond file end The ELF header contains offsets that the loader uses to find otherstructures. If those offsets are beyond the end of the file (or would gopast the end of the file) it is essential to error out when attempting toread those. Using `Read::read_exact()` permits this.Signed-off-by: Bo Chen <chen.bo@intel.com>Co-authored-by: Rob Bradford <robert.bradford@intel.com>,1
i18n: Add Thai language (#23165),0
Merge branch 'patrik-check-latest' into 'master'Check new version availability #266See merge request ikus-soft/rdiffweb!324,0
Apply php-cs-fixer changes,0
feat: Add property `Parse.Server.version` to determine current version of Parse Server in Cloud Code (#8670),0
MDL-79276 core: Fix html validation with streaming api,0
Merge pull request from GHSA-699q-wcff-g9mj * Fix unsafe unserialize()* Add changelog and comments on why unserialize() is disabled* Add since tag,1
explicit alg check & secure hash comparison ,1
feat: add lazy rendering in home page (#2085),0
[ISSUE #1803] Fix JsonSyntaxException in jwt plugin (#1804) ,1
"feat: re-added fullscreen plugin for TinyMCE, closes #2658",0
Added field to controllerSigned-off-by: snipe <snipe@snipe.net>,0
XWIKI-21377: Compile Velocity during {{velocity} macro preparationCo-authored-by: Michael Hamann <michael.hamann@xwiki.com>,0
MDL-79782 pix: Replace angles- SVGs with Free versions,1
security: fix SSRF in repository migration (#6812) Co-authored-by: Joe Chen <jc@unknwon.io># Conflicts:#	CHANGELOG.md#	internal/route/repo/webhook.go,1
Pixel shift bug fix,0
"XWIKI-18811: Add autocomplete attribute to login form fields (#2195)* Added autocomplete to login form fields.* Added autocomplete to registration form field.* Added autocomplete to password change form.",1
chore: remove openid field from user,0
"Bump reactflow from 11.8.3 to 11.9.2 in /js (#23547)Bumps [reactflow](https://github.com/wbkd/react-flow/tree/HEAD/packages/reactflow) from 11.8.3 to 11.9.2.- [Release notes](https://github.com/wbkd/react-flow/releases)- [Changelog](https://github.com/wbkd/react-flow/blob/reactflow@11.9.2/packages/reactflow/CHANGELOG.md)- [Commits](https://github.com/wbkd/react-flow/commits/reactflow@11.9.2/packages/reactflow)---updated-dependencies:- dependency-name: reactflow  dependency-type: direct:production  update-type: version-update:semver-minor...Signed-off-by: dependabot[bot] <support@github.com>Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",0
Fix assets are not accessible on webdav links - resolves #15855 (#15856),1
Fix typo in unittest setup.PiperOrigin-RevId: 574392823,0
Merge branch 'next-30468/auto-imported-from-github' into 'trunk'NEXT-30468 - Support active flag and maintenace mode in store api routes..See merge request shopware/6/product/platform!11433,0
"[TASK] Bump friendsofphp/php-cs-fixer:^3.35.1It's time to update to latest changes of php-cs-fixerto align with current community rules. This brings arather huge series of changes, main changes due tosingle_line_empty_body rule which now formats emptyclass and method body curly braces into a single line,plus changes from function_declaration rule which tendsto avoid more whitespaces.The change has a slight impact on phpstan, weregenerate baseline.To reduce backport headaches, this change is backportedto v12 and v11.> composer req --dev friendsofphp/php-cs-fixer:^3.35.1> Build/Scripts/runTests.sh -s cgl> Build/Scripts/runTests.sh -s phpstanGenerateBaselineResolves: #102236Releases: main, 12.4, 11.5Change-Id: Iea45b10667951672b2194033216c49f580799f55Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81512Tested-by: core-ci <typo3@b13.com>Reviewed-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Jasmina Ließmann <minapokhalo+typo3@gmail.com>Reviewed-by: Jasmina Ließmann <minapokhalo+typo3@gmail.com>",0
"Users in role Rest API returns empty when User federation used (#23318)* Users in role Rest API returns empty when User federation usedCo-authored-by: Shankar Yadav <ET1024@neeyamoworks.com>Co-authored-by: Martin Kanis <mkanis@redhat.com>Co-authored-by: Michal Hajas <mhajas@redhat.com>",0
